stage,split,recipe_band,depth,aspect_ratio,head_dim,model_dim,seed,num_iterations,target_tokens,total_batch_size,device_batch_size,max_seq_len,warmup_steps,fp8,window_pattern,model_tag,n_index,d_index,planned_family,planned_model_depth,planned_data_tokens,planned_total_batch_size,planned_note,sizing_family,target_n_scaling,preflight_n_scaling,target_n_scaling_rel_error,n_geometric_rel_error,source_prefix_order,source_prefix_family,source_prefix_q_hint,target_budget_b,support_rank,support_key,support_point_id,axis_role,train_row_group_start,base_num_iterations,D_actual,train_length_multiplier,process_wave,process_arm_scope,target_line_referee_usage,selection_uses_target_oracle,roihu_partition_note
roihu_fsl_x17p5_naxis_process_panel_compact_s93_94_rg0_16_rank1_n4_d2_dep4_md704_it324_x1p00_s93_rg0,source_x17p5_naxis_process_design,canonical,4,72,64,704,93,324,169869312,524288,16,2048,40,1,L,roihu-fsl-x17p5-naxis-process-panel-compact-s93-94-rg0-16-rank1-n4-d2-dep4-md704-it324-x1p00-s93-rg0,4,2,x17p5_naxis_process_stability_panel,4,169869312,524288,Nested 5x5 Roihu small-N source-prefix grid covering the measured target-line optimum from both sides; target-line BPB remains held-out referee.,controlled_model_dim_source_prefix_smalln_5x5,46858504.0,46858504.0,0.0,0.162821576719,19,5p_to_3x3_to_4x4_to_5x5_nested,25,1.305337,1,0:2;0:3;0:4;2:2;4:2,4:2,n_axis,0,324,169869312,1.0,wave1_x1p00,n_axis_diagnostic_only; process multipliers >1.0 are not a complete legal 5p support unless matching D-axis rows are later added,held_out_evaluation_only,False,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
roihu_fsl_x17p5_naxis_process_panel_compact_s93_94_rg0_16_rank1_n4_d2_dep4_md704_it324_x1p00_s93_rg16,source_x17p5_naxis_process_design,canonical,4,72,64,704,93,324,169869312,524288,16,2048,40,1,L,roihu-fsl-x17p5-naxis-process-panel-compact-s93-94-rg0-16-rank1-n4-d2-dep4-md704-it324-x1p00-s93-rg16,4,2,x17p5_naxis_process_stability_panel,4,169869312,524288,Nested 5x5 Roihu small-N source-prefix grid covering the measured target-line optimum from both sides; target-line BPB remains held-out referee.,controlled_model_dim_source_prefix_smalln_5x5,46858504.0,46858504.0,0.0,0.162821576719,19,5p_to_3x3_to_4x4_to_5x5_nested,25,1.305337,1,0:2;0:3;0:4;2:2;4:2,4:2,n_axis,16,324,169869312,1.0,wave1_x1p00,n_axis_diagnostic_only; process multipliers >1.0 are not a complete legal 5p support unless matching D-axis rows are later added,held_out_evaluation_only,False,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
roihu_fsl_x17p5_naxis_process_panel_compact_s93_94_rg0_16_rank1_n4_d2_dep4_md704_it324_x1p00_s94_rg0,source_x17p5_naxis_process_design,canonical,4,72,64,704,94,324,169869312,524288,16,2048,40,1,L,roihu-fsl-x17p5-naxis-process-panel-compact-s93-94-rg0-16-rank1-n4-d2-dep4-md704-it324-x1p00-s94-rg0,4,2,x17p5_naxis_process_stability_panel,4,169869312,524288,Nested 5x5 Roihu small-N source-prefix grid covering the measured target-line optimum from both sides; target-line BPB remains held-out referee.,controlled_model_dim_source_prefix_smalln_5x5,46858504.0,46858504.0,0.0,0.162821576719,19,5p_to_3x3_to_4x4_to_5x5_nested,25,1.305337,1,0:2;0:3;0:4;2:2;4:2,4:2,n_axis,0,324,169869312,1.0,wave1_x1p00,n_axis_diagnostic_only; process multipliers >1.0 are not a complete legal 5p support unless matching D-axis rows are later added,held_out_evaluation_only,False,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
roihu_fsl_x17p5_naxis_process_panel_compact_s93_94_rg0_16_rank1_n4_d2_dep4_md704_it324_x1p00_s94_rg16,source_x17p5_naxis_process_design,canonical,4,72,64,704,94,324,169869312,524288,16,2048,40,1,L,roihu-fsl-x17p5-naxis-process-panel-compact-s93-94-rg0-16-rank1-n4-d2-dep4-md704-it324-x1p00-s94-rg16,4,2,x17p5_naxis_process_stability_panel,4,169869312,524288,Nested 5x5 Roihu small-N source-prefix grid covering the measured target-line optimum from both sides; target-line BPB remains held-out referee.,controlled_model_dim_source_prefix_smalln_5x5,46858504.0,46858504.0,0.0,0.162821576719,19,5p_to_3x3_to_4x4_to_5x5_nested,25,1.305337,1,0:2;0:3;0:4;2:2;4:2,4:2,n_axis,16,324,169869312,1.0,wave1_x1p00,n_axis_diagnostic_only; process multipliers >1.0 are not a complete legal 5p support unless matching D-axis rows are later added,held_out_evaluation_only,False,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
roihu_fsl_x17p5_naxis_process_panel_compact_s93_94_rg0_16_rank2_n0_d1_dep4_md128_it216_x1p00_s93_rg0,source_x17p5_naxis_process_design,canonical,4,72,64,128,93,216,113246208,524288,16,2048,40,1,L,roihu-fsl-x17p5-naxis-process-panel-compact-s93-94-rg0-16-rank2-n0-d1-dep4-md128-it216-x1p00-s93-rg0,0,1,x17p5_naxis_process_stability_panel,4,113246208,524288,Nested 5x5 Roihu small-N source-prefix grid covering the measured target-line optimum from both sides; target-line BPB remains held-out referee.,controlled_model_dim_source_prefix_smalln_5x5,4980784.0,4980784.0,0.0,0.162821576719,4,5p_to_3x3_to_4x4_to_5x5_nested,5,1.305337,2,0:1;0:2;0:4;2:1;4:1,0:1,n_axis,0,216,113246208,1.0,wave1_x1p00,n_axis_diagnostic_only; process multipliers >1.0 are not a complete legal 5p support unless matching D-axis rows are later added,held_out_evaluation_only,False,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
roihu_fsl_x17p5_naxis_process_panel_compact_s93_94_rg0_16_rank2_n0_d1_dep4_md128_it216_x1p00_s93_rg16,source_x17p5_naxis_process_design,canonical,4,72,64,128,93,216,113246208,524288,16,2048,40,1,L,roihu-fsl-x17p5-naxis-process-panel-compact-s93-94-rg0-16-rank2-n0-d1-dep4-md128-it216-x1p00-s93-rg16,0,1,x17p5_naxis_process_stability_panel,4,113246208,524288,Nested 5x5 Roihu small-N source-prefix grid covering the measured target-line optimum from both sides; target-line BPB remains held-out referee.,controlled_model_dim_source_prefix_smalln_5x5,4980784.0,4980784.0,0.0,0.162821576719,4,5p_to_3x3_to_4x4_to_5x5_nested,5,1.305337,2,0:1;0:2;0:4;2:1;4:1,0:1,n_axis,16,216,113246208,1.0,wave1_x1p00,n_axis_diagnostic_only; process multipliers >1.0 are not a complete legal 5p support unless matching D-axis rows are later added,held_out_evaluation_only,False,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
roihu_fsl_x17p5_naxis_process_panel_compact_s93_94_rg0_16_rank2_n0_d1_dep4_md128_it216_x1p00_s94_rg0,source_x17p5_naxis_process_design,canonical,4,72,64,128,94,216,113246208,524288,16,2048,40,1,L,roihu-fsl-x17p5-naxis-process-panel-compact-s93-94-rg0-16-rank2-n0-d1-dep4-md128-it216-x1p00-s94-rg0,0,1,x17p5_naxis_process_stability_panel,4,113246208,524288,Nested 5x5 Roihu small-N source-prefix grid covering the measured target-line optimum from both sides; target-line BPB remains held-out referee.,controlled_model_dim_source_prefix_smalln_5x5,4980784.0,4980784.0,0.0,0.162821576719,4,5p_to_3x3_to_4x4_to_5x5_nested,5,1.305337,2,0:1;0:2;0:4;2:1;4:1,0:1,n_axis,0,216,113246208,1.0,wave1_x1p00,n_axis_diagnostic_only; process multipliers >1.0 are not a complete legal 5p support unless matching D-axis rows are later added,held_out_evaluation_only,False,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
roihu_fsl_x17p5_naxis_process_panel_compact_s93_94_rg0_16_rank2_n0_d1_dep4_md128_it216_x1p00_s94_rg16,source_x17p5_naxis_process_design,canonical,4,72,64,128,94,216,113246208,524288,16,2048,40,1,L,roihu-fsl-x17p5-naxis-process-panel-compact-s93-94-rg0-16-rank2-n0-d1-dep4-md128-it216-x1p00-s94-rg16,0,1,x17p5_naxis_process_stability_panel,4,113246208,524288,Nested 5x5 Roihu small-N source-prefix grid covering the measured target-line optimum from both sides; target-line BPB remains held-out referee.,controlled_model_dim_source_prefix_smalln_5x5,4980784.0,4980784.0,0.0,0.162821576719,4,5p_to_3x3_to_4x4_to_5x5_nested,5,1.305337,2,0:1;0:2;0:4;2:1;4:1,0:1,n_axis,16,216,113246208,1.0,wave1_x1p00,n_axis_diagnostic_only; process multipliers >1.0 are not a complete legal 5p support unless matching D-axis rows are later added,held_out_evaluation_only,False,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
roihu_fsl_x17p5_naxis_process_panel_compact_s93_94_rg0_16_rank2_n2_d1_dep4_md320_it216_x1p00_s93_rg0,source_x17p5_naxis_process_design,canonical,4,72,64,320,93,216,113246208,524288,16,2048,40,1,L,roihu-fsl-x17p5-naxis-process-panel-compact-s93-94-rg0-16-rank2-n2-d1-dep4-md320-it216-x1p00-s93-rg0,2,1,x17p5_naxis_process_stability_panel,4,113246208,524288,Nested 5x5 Roihu small-N source-prefix grid covering the measured target-line optimum from both sides; target-line BPB remains held-out referee.,controlled_model_dim_source_prefix_smalln_5x5,15401080.0,15401080.0,0.0,0.162821576719,8,5p_to_3x3_to_4x4_to_5x5_nested,9,1.305337,2,0:1;0:2;0:4;2:1;4:1,2:1,n_axis,0,216,113246208,1.0,wave1_x1p00,n_axis_diagnostic_only; process multipliers >1.0 are not a complete legal 5p support unless matching D-axis rows are later added,held_out_evaluation_only,False,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
roihu_fsl_x17p5_naxis_process_panel_compact_s93_94_rg0_16_rank2_n2_d1_dep4_md320_it216_x1p00_s93_rg16,source_x17p5_naxis_process_design,canonical,4,72,64,320,93,216,113246208,524288,16,2048,40,1,L,roihu-fsl-x17p5-naxis-process-panel-compact-s93-94-rg0-16-rank2-n2-d1-dep4-md320-it216-x1p00-s93-rg16,2,1,x17p5_naxis_process_stability_panel,4,113246208,524288,Nested 5x5 Roihu small-N source-prefix grid covering the measured target-line optimum from both sides; target-line BPB remains held-out referee.,controlled_model_dim_source_prefix_smalln_5x5,15401080.0,15401080.0,0.0,0.162821576719,8,5p_to_3x3_to_4x4_to_5x5_nested,9,1.305337,2,0:1;0:2;0:4;2:1;4:1,2:1,n_axis,16,216,113246208,1.0,wave1_x1p00,n_axis_diagnostic_only; process multipliers >1.0 are not a complete legal 5p support unless matching D-axis rows are later added,held_out_evaluation_only,False,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
roihu_fsl_x17p5_naxis_process_panel_compact_s93_94_rg0_16_rank2_n2_d1_dep4_md320_it216_x1p00_s94_rg0,source_x17p5_naxis_process_design,canonical,4,72,64,320,94,216,113246208,524288,16,2048,40,1,L,roihu-fsl-x17p5-naxis-process-panel-compact-s93-94-rg0-16-rank2-n2-d1-dep4-md320-it216-x1p00-s94-rg0,2,1,x17p5_naxis_process_stability_panel,4,113246208,524288,Nested 5x5 Roihu small-N source-prefix grid covering the measured target-line optimum from both sides; target-line BPB remains held-out referee.,controlled_model_dim_source_prefix_smalln_5x5,15401080.0,15401080.0,0.0,0.162821576719,8,5p_to_3x3_to_4x4_to_5x5_nested,9,1.305337,2,0:1;0:2;0:4;2:1;4:1,2:1,n_axis,0,216,113246208,1.0,wave1_x1p00,n_axis_diagnostic_only; process multipliers >1.0 are not a complete legal 5p support unless matching D-axis rows are later added,held_out_evaluation_only,False,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
roihu_fsl_x17p5_naxis_process_panel_compact_s93_94_rg0_16_rank2_n2_d1_dep4_md320_it216_x1p00_s94_rg16,source_x17p5_naxis_process_design,canonical,4,72,64,320,94,216,113246208,524288,16,2048,40,1,L,roihu-fsl-x17p5-naxis-process-panel-compact-s93-94-rg0-16-rank2-n2-d1-dep4-md320-it216-x1p00-s94-rg16,2,1,x17p5_naxis_process_stability_panel,4,113246208,524288,Nested 5x5 Roihu small-N source-prefix grid covering the measured target-line optimum from both sides; target-line BPB remains held-out referee.,controlled_model_dim_source_prefix_smalln_5x5,15401080.0,15401080.0,0.0,0.162821576719,8,5p_to_3x3_to_4x4_to_5x5_nested,9,1.305337,2,0:1;0:2;0:4;2:1;4:1,2:1,n_axis,16,216,113246208,1.0,wave1_x1p00,n_axis_diagnostic_only; process multipliers >1.0 are not a complete legal 5p support unless matching D-axis rows are later added,held_out_evaluation_only,False,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
roihu_fsl_x17p5_naxis_process_panel_compact_s93_94_rg0_16_rank2_n4_d1_dep4_md704_it216_x1p00_s93_rg0,source_x17p5_naxis_process_design,canonical,4,72,64,704,93,216,113246208,524288,16,2048,40,1,L,roihu-fsl-x17p5-naxis-process-panel-compact-s93-94-rg0-16-rank2-n4-d1-dep4-md704-it216-x1p00-s93-rg0,4,1,x17p5_naxis_process_stability_panel,4,113246208,524288,Nested 5x5 Roihu small-N source-prefix grid covering the measured target-line optimum from both sides; target-line BPB remains held-out referee.,controlled_model_dim_source_prefix_smalln_5x5,46858504.0,46858504.0,0.0,0.162821576719,18,5p_to_3x3_to_4x4_to_5x5_nested,25,1.305337,2,0:1;0:2;0:4;2:1;4:1,4:1,n_axis,0,216,113246208,1.0,wave1_x1p00,n_axis_diagnostic_only; process multipliers >1.0 are not a complete legal 5p support unless matching D-axis rows are later added,held_out_evaluation_only,False,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
roihu_fsl_x17p5_naxis_process_panel_compact_s93_94_rg0_16_rank2_n4_d1_dep4_md704_it216_x1p00_s93_rg16,source_x17p5_naxis_process_design,canonical,4,72,64,704,93,216,113246208,524288,16,2048,40,1,L,roihu-fsl-x17p5-naxis-process-panel-compact-s93-94-rg0-16-rank2-n4-d1-dep4-md704-it216-x1p00-s93-rg16,4,1,x17p5_naxis_process_stability_panel,4,113246208,524288,Nested 5x5 Roihu small-N source-prefix grid covering the measured target-line optimum from both sides; target-line BPB remains held-out referee.,controlled_model_dim_source_prefix_smalln_5x5,46858504.0,46858504.0,0.0,0.162821576719,18,5p_to_3x3_to_4x4_to_5x5_nested,25,1.305337,2,0:1;0:2;0:4;2:1;4:1,4:1,n_axis,16,216,113246208,1.0,wave1_x1p00,n_axis_diagnostic_only; process multipliers >1.0 are not a complete legal 5p support unless matching D-axis rows are later added,held_out_evaluation_only,False,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
roihu_fsl_x17p5_naxis_process_panel_compact_s93_94_rg0_16_rank2_n4_d1_dep4_md704_it216_x1p00_s94_rg0,source_x17p5_naxis_process_design,canonical,4,72,64,704,94,216,113246208,524288,16,2048,40,1,L,roihu-fsl-x17p5-naxis-process-panel-compact-s93-94-rg0-16-rank2-n4-d1-dep4-md704-it216-x1p00-s94-rg0,4,1,x17p5_naxis_process_stability_panel,4,113246208,524288,Nested 5x5 Roihu small-N source-prefix grid covering the measured target-line optimum from both sides; target-line BPB remains held-out referee.,controlled_model_dim_source_prefix_smalln_5x5,46858504.0,46858504.0,0.0,0.162821576719,18,5p_to_3x3_to_4x4_to_5x5_nested,25,1.305337,2,0:1;0:2;0:4;2:1;4:1,4:1,n_axis,0,216,113246208,1.0,wave1_x1p00,n_axis_diagnostic_only; process multipliers >1.0 are not a complete legal 5p support unless matching D-axis rows are later added,held_out_evaluation_only,False,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
roihu_fsl_x17p5_naxis_process_panel_compact_s93_94_rg0_16_rank2_n4_d1_dep4_md704_it216_x1p00_s94_rg16,source_x17p5_naxis_process_design,canonical,4,72,64,704,94,216,113246208,524288,16,2048,40,1,L,roihu-fsl-x17p5-naxis-process-panel-compact-s93-94-rg0-16-rank2-n4-d1-dep4-md704-it216-x1p00-s94-rg16,4,1,x17p5_naxis_process_stability_panel,4,113246208,524288,Nested 5x5 Roihu small-N source-prefix grid covering the measured target-line optimum from both sides; target-line BPB remains held-out referee.,controlled_model_dim_source_prefix_smalln_5x5,46858504.0,46858504.0,0.0,0.162821576719,18,5p_to_3x3_to_4x4_to_5x5_nested,25,1.305337,2,0:1;0:2;0:4;2:1;4:1,4:1,n_axis,16,216,113246208,1.0,wave1_x1p00,n_axis_diagnostic_only; process multipliers >1.0 are not a complete legal 5p support unless matching D-axis rows are later added,held_out_evaluation_only,False,Submit GPU jobs to gpumedium; do not use pilot/gpupilot.
